candidate_name,year,election_type,office,party,double_checked,source
"WALDRON, MARIE",2018,PRIMARY,ASSEMBLY 75,REPUBLICAN,x,http://elections.cdn.sos.ca.gov//statewide-elections/2016-general/november2016-certified-list-of-candidates.pdf
"SWINNEY, CARL M. ""MARTY""",2001,SPECIAL ELECTION,STATE SENATE 24,LIBERTARIAN,x,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=intention&electNav=39
"PHAM, NAM",2016,PRIMARY,ASSEMBLY 72,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov//statewide-elections/2016-primary/june-2016-abbrev-candidates.pdf
"ISLAM, MESBAH",2016,PRIMARY,ASSEMBLY 73,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov//statewide-elections/2016-primary/june-2016-write-in-voter-nominated.pdf
"STROM-MARTIN, VIRGINIA",2000,GENERAL,ASSEMBLY 01,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"GILLEO, JOSHUA",2000,GENERAL,ASSEMBLY 01,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LAMPSON, MIKE",2000,GENERAL,ASSEMBLY 01,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"THIESSEN, PATRICE",2000,GENERAL,ASSEMBLY 02,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DICKERSON, RICHARD ""DICK""",2000,GENERAL,ASSEMBLY 02,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BRET, PETE ANTHONY",2000,GENERAL,ASSEMBLY 02,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PARKS, VIRGIL",2000,GENERAL,ASSEMBLY 02,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"THOMASON, WILLIAM L.",2000,GENERAL,ASSEMBLY 03,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MACOLA, STEPHEN A.",2000,GENERAL,ASSEMBLY 04,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FRAZIER, GENE",2000,GENERAL,ASSEMBLY 05,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"COX, DAVE",2000,GENERAL,ASSEMBLY 05,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SULLIVAN, ED",2000,GENERAL,ASSEMBLY 06,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"OLMSTEAD, RICHARD",2000,GENERAL,ASSEMBLY 06,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WIGGINS, PATRICIA ANN",2000,GENERAL,ASSEMBLY 07,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SCHOEFFLER, WILLIAM",2000,GENERAL,ASSEMBLY 07,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"RIVERA, PEDRO J.",2000,GENERAL,ASSEMBLY 07,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WILSON II, ROBERT W.",2000,GENERAL,ASSEMBLY 08,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"THOMSON, HELEN M. (501WITHDRAWN)",2000,GENERAL,ASSEMBLY 08,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SAUNDERS, BRUCE B.",2000,GENERAL,ASSEMBLY 09,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BERGERON, JAN L.",2000,GENERAL,ASSEMBLY 09,GREEN PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HARGRAVE, CHARLES",2000,GENERAL,ASSEMBLY 09,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PESCETTI, ANTHONY",2000,GENERAL,ASSEMBLY 10,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KOHLHEPP, TOM",2000,GENERAL,ASSEMBLY 10,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DIAZ, JIM",2000,GENERAL,ASSEMBLY 11,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MANSKE, FRANK J.",2000,GENERAL,ASSEMBLY 11,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SHELLEY, KEVIN",2000,GENERAL,ASSEMBLY 12,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"EPSTEIN, HOWARD",2000,GENERAL,ASSEMBLY 12,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MIGDEN, CAROLE",2000,GENERAL,ASSEMBLY 13,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
STARCHILD,2000,GENERAL,ASSEMBLY 13,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LANE, BOB",2000,GENERAL,ASSEMBLY 13,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"UDINSKY, JERALD",2000,GENERAL,ASSEMBLY 14,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BURTON, DANIEL C.",2000,GENERAL,ASSEMBLY 14,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ARONER, DION LOUISE",2000,GENERAL,ASSEMBLY 14,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LEACH, LYNNE C.",2000,GENERAL,ASSEMBLY 15,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ARMSTRONG, RICHARD E.",2000,GENERAL,ASSEMBLY 16,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BOCK, AUDIE E.",2000,GENERAL,ASSEMBLY 16,NO PARTY PREFERENCE,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MC CORMICK, TIMOTHY B.",2000,GENERAL,ASSEMBLY 16,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BUSCH, ROY W.",2000,GENERAL,ASSEMBLY 17,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CORBETT, ELLEN",2000,GENERAL,ASSEMBLY 18,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MAHMOOD, SYED",2000,GENERAL,ASSEMBLY 18,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KASSEL, STEVEN H.",2000,GENERAL,ASSEMBLY 19,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PAPAN, LOU",2000,GENERAL,ASSEMBLY 19,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SIX, PAUL J.",2000,GENERAL,ASSEMBLY 19,REFORM PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LUNDRY, STEVE C.",2000,GENERAL,ASSEMBLY 19,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KING, LOWELL",2000,GENERAL,ASSEMBLY 20,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WERLWAS, MARK",2000,GENERAL,ASSEMBLY 20,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DUTRA, JOHN A.",2000,GENERAL,ASSEMBLY 20,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SIMITIAN, S. JOSEPH",2000,GENERAL,ASSEMBLY 21,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PURCELL, GLORIA",2000,GENERAL,ASSEMBLY 21,GREEN PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KAWCZYNSKI, STAN",2000,GENERAL,ASSEMBLY 22,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ALBRECHT, DANA W.",2000,GENERAL,ASSEMBLY 23,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"STRONG, RAY",2000,GENERAL,ASSEMBLY 24,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ZWICKEL, JONATHAN IRA",2000,GENERAL,ASSEMBLY 25,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SANCHEZ, MARSHALL",2000,GENERAL,ASSEMBLY 26,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CARDOZA, DENNIS",2000,GENERAL,ASSEMBLY 26,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BONINO, DAVID R.",2000,GENERAL,ASSEMBLY 27,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DE JOLY, MADELINE",2000,GENERAL,ASSEMBLY 27,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CARTER, CHARLES ""CHUCK""",2000,GENERAL,ASSEMBLY 27,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VER, ROGER",2000,GENERAL,ASSEMBLY 28,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VOGEL, JOHN",2000,GENERAL,ASSEMBLY 28,REFORM PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DRIOANE, RON",2000,GENERAL,ASSEMBLY 29,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BRIGGS, MIKE",2000,GENERAL,ASSEMBLY 29,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"REID, LITA",2000,GENERAL,ASSEMBLY 29,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FLOREZ, DEAN",2000,GENERAL,ASSEMBLY 30,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"REYES, SARAH",2000,GENERAL,ASSEMBLY 31,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CABRAL, RICHARD GUERRA",2000,GENERAL,ASSEMBLY 31,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"GURROLA, VIRGINIA",2000,GENERAL,ASSEMBLY 32,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ASHBURN, ROY",2000,GENERAL,ASSEMBLY 32,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HOULGATE, LAURENCE",2000,GENERAL,ASSEMBLY 33,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MALDONADO, ABEL",2000,GENERAL,ASSEMBLY 33,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CONAWAY, ROBERT ""BOB""",2000,GENERAL,ASSEMBLY 34,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DAHL, ERIC",2000,GENERAL,ASSEMBLY 35,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"JACKSON, HANNAH-BETH",2000,GENERAL,ASSEMBLY 35,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CALDERON, PAULA L.",2000,GENERAL,ASSEMBLY 36,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"RUNNER, GEORGE C.",2000,GENERAL,ASSEMBLY 36,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BASHEM, GREGORY JAMES",2000,GENERAL,ASSEMBLY 36,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MICHLIN, WILLARD D.",2000,GENERAL,ASSEMBLY 37,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"STRICKLAND, TONY",2000,GENERAL,ASSEMBLY 37,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LAURITZEN, JON M.",2000,GENERAL,ASSEMBLY 38,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BARON, PHILIP",2000,GENERAL,ASSEMBLY 38,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MAIRA, CHRISTOPHER ""KIT""",2000,GENERAL,ASSEMBLY 39,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CARDENAS, TONY",2000,GENERAL,ASSEMBLY 39,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VALDEZ, ENRIQUE (HENRY)",2000,GENERAL,ASSEMBLY 39,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ROSS, KELLEY L.",2000,GENERAL,ASSEMBLY 40,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HERTZBERG, ROBERT",2000,GENERAL,ASSEMBLY 40,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HAMMANS, KYLE",2000,GENERAL,ASSEMBLY 40,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SHAPIRO, JAYNE M.",2000,GENERAL,ASSEMBLY 41,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"GOLDMAN, COLIN S.",2000,GENERAL,ASSEMBLY 41,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"TAYLOR, DOUGLAS CLEON",2000,GENERAL,ASSEMBLY 42,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ADAM, IVKA",2000,GENERAL,ASSEMBLY 42,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SELZER, MARK ALLEN",2000,GENERAL,ASSEMBLY 42,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DOUGLAS, JERRY",2000,GENERAL,ASSEMBLY 44,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BROWN, MATT",2000,GENERAL,ASSEMBLY 46,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LEONARD, JONATHAN",2000,GENERAL,ASSEMBLY 47,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PACER, SCOTT",2000,GENERAL,ASSEMBLY 47,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WESSON, JR., HERMAN J.",2000,GENERAL,ASSEMBLY 47,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WRIGHT, RODERICK ""ROD""",2000,GENERAL,ASSEMBLY 48,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WOODS, ERNEST L.",2000,GENERAL,ASSEMBLY 48,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ROMERO, GLORIA",2000,GENERAL,ASSEMBLY 49,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MILLER, GLADYS O.",2000,GENERAL,ASSEMBLY 50,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FIREBAUGH, MARCO ANTONIO",2000,GENERAL,ASSEMBLY 50,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HAWKINS, ANTOINE",2000,GENERAL,ASSEMBLY 51,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ILES, MARK ANTHONY",2000,GENERAL,ASSEMBLY 52,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WASHINGTON, CARL",2000,GENERAL,ASSEMBLY 52,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HOWITT, PHIL",2000,GENERAL,ASSEMBLY 53,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FELANDO, GERALD",2000,GENERAL,ASSEMBLY 53,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NAKANO, GEORGE",2000,GENERAL,ASSEMBLY 53,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"OGDEN, DALE F.",2000,GENERAL,ASSEMBLY 54,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LOWENTHAL, ALAN",2000,GENERAL,ASSEMBLY 54,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LANKSTER, SAUL E.",2000,GENERAL,ASSEMBLY 55,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WILSON, GUY",2000,GENERAL,ASSEMBLY 55,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HAVICE, SALLY",2000,GENERAL,ASSEMBLY 56,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VENTUROSO, KATHERINE LICARI",2000,GENERAL,ASSEMBLY 57,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CALDERON, THOMAS M.",2000,GENERAL,ASSEMBLY 58,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BURROLA, ALEX A.",2000,GENERAL,ASSEMBLY 58,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WHITE, GEORGE",2000,GENERAL,ASSEMBLY 59,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ALLISON, LOUISE M.",2000,GENERAL,ASSEMBLY 59,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"YOUNG, SCOTT E.",2000,GENERAL,ASSEMBLY 60,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PACHECO, ROBERT ""BOB""",2000,GENERAL,ASSEMBLY 60,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"DUHAMEL, JEFF A.",2000,GENERAL,ASSEMBLY 60,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KOCOT, DAVID",2000,GENERAL,ASSEMBLY 61,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MATUS, HENRY JOHN",2000,GENERAL,ASSEMBLY 62,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MARTINEZ, MARY LOU",2000,GENERAL,ASSEMBLY 62,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LONGVILLE, JOHN",2000,GENERAL,ASSEMBLY 62,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"STOTZ, SCOTT T.",2000,GENERAL,ASSEMBLY 63,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MOHLER, ETHEL M.",2000,GENERAL,ASSEMBLY 63,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"LEONARD, BILL",2000,GENERAL,ASSEMBLY 63,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WALLACK, ANNIE",2000,GENERAL,ASSEMBLY 64,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PACHECO, RODRIC A.",2000,GENERAL,ASSEMBLY 64,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"TURNER, PHIL",2000,GENERAL,ASSEMBLY 64,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"RENTERIA, JOSEPH RAY",2000,GENERAL,ASSEMBLY 65,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CANFIELD, BOB",2000,GENERAL,ASSEMBLY 66,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"REUTTER, CHUCK",2000,GENERAL,ASSEMBLY 66,GREEN PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HILBERT, ANDREW MARTIN",2000,GENERAL,ASSEMBLY 67,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BROWNE, AUTUMN",2000,GENERAL,ASSEMBLY 67,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NEWHOUSE, RICHARD G.",2000,GENERAL,ASSEMBLY 68,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"SNOOK, AL",2000,GENERAL,ASSEMBLY 68,REFORM PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MADDOX, KENNETH",2000,GENERAL,ASSEMBLY 68,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PHAM, BRIAN TUAN",2000,GENERAL,ASSEMBLY 69,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CORREA, LOU",2000,GENERAL,ASSEMBLY 69,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KATZ, BARRY L.",2000,GENERAL,ASSEMBLY 70,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MILLS, RAYMOND O.",2000,GENERAL,ASSEMBLY 70,REFORM PARTY,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"MC KEON, MERRITT LORI",2000,GENERAL,ASSEMBLY 70,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"VONDRUSKA, ROBERT ANTHONY",2000,GENERAL,ASSEMBLY 70,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CAMPBELL, BILL",2000,GENERAL,ASSEMBLY 71,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BRYANT, BRENDA JO",2000,GENERAL,ASSEMBLY 71,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"CROSS, BRIAN LEE",2000,GENERAL,ASSEMBLY 71,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FOSTER, BEA",2000,GENERAL,ASSEMBLY 71,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"NANJUNDAPPA, GANGADHARAPRA",2000,GENERAL,ASSEMBLY 72,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ZAMARRA, JOHN WM.",2000,GENERAL,ASSEMBLY 72,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"FISHER, PAUL",2000,GENERAL,ASSEMBLY 73,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WILBERG, ROBERT D.",2000,GENERAL,ASSEMBLY 73,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BATES, PATRICIA C. ""PAT""",2000,GENERAL,ASSEMBLY 73,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"KING, PAUL H.",2000,GENERAL,ASSEMBLY 73,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HOHMAN, TOM",2000,GENERAL,ASSEMBLY 74,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"HERRERA, JOHN",2000,GENERAL,ASSEMBLY 74,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"BOURDETTE, BARBARA",2000,GENERAL,ASSEMBLY 74,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WALTERS, JUDITH K.",2000,GENERAL,ASSEMBLY 75,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"ZETTEL, CHARLENE",2000,GENERAL,ASSEMBLY 75,REPUBLICAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"PIETILA, GARY W.",2000,GENERAL,ASSEMBLY 75,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"OAKEY, DAVID T.",2000,GENERAL,ASSEMBLY 76,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"METTI, MICHAEL S.",2000,GENERAL,ASSEMBLY 77,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WINGFIELD, RAYMOND C.",2000,GENERAL,ASSEMBLY 78,NATURAL LAW,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"TRIGLIA, DENNIS",2000,GENERAL,ASSEMBLY 78,LIBERTARIAN,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
"WAYNE, HOWARD",2000,GENERAL,ASSEMBLY 78,DEMOCRATIC,x,http://elections.cdn.sos.ca.gov/sov/2000-general/sov-complete.pdf
